STATE;STATE CODE;RATING AREA ID;COUNTY;ZIP3;MARKET
Alabama;AL;Rating Area 1;Calhoun;;
Alabama;AL;Rating Area 2;Lee;;
Alabama;AL;Rating Area 3;Bibb;;
Alabama;AL;Rating Area 3;Blount;;
Alabama;AL;Rating Area 3;Chilton;;
Alabama;AL;Rating Area 3;Jefferson;;
Alabama;AL;Rating Area 3;St. Clair;;
Alabama;AL;Rating Area 3;Shelby;;
Alabama;AL;Rating Area 3;Walker;;
Alabama;AL;Rating Area 4;Russell;;
Alabama;AL;Rating Area 5;Lawrence;;
Alabama;AL;Rating Area 5;Morgan;;
Alabama;AL;Rating Area 6;Geneva;;
Alabama;AL;Rating Area 6;Henry;;
Alabama;AL;Rating Area 6;Houston;;
Alabama;AL;Rating Area 7;Colbert;;
Alabama;AL;Rating Area 7;Lauderdale;;
Alabama;AL;Rating Area 8;Etowah;;
Alabama;AL;Rating Area 9;Limestone;;
Alabama;AL;Rating Area 9;Madison;;
Alabama;AL;Rating Area 10;Mobile;;
Alabama;AL;Rating Area 11;Autauga;;
Alabama;AL;Rating Area 11;Elmore;;
Alabama;AL;Rating Area 11;Lowndes;;
Alabama;AL;Rating Area 11;Montgomery;;
Alabama;AL;Rating Area 12;Greene;;
Alabama;AL;Rating Area 12;Hale;;
Alabama;AL;Rating Area 12;Tuscaloosa;;
Alabama;AL;Rating Area 13;Baldwin;;
Alabama;AL;Rating Area 13;Barbour;;
Alabama;AL;Rating Area 13;Bullock;;
Alabama;AL;Rating Area 13;Butler;;
Alabama;AL;Rating Area 13;Chambers;;
Alabama;AL;Rating Area 13;Cherokee;;
Alabama;AL;Rating Area 13;Choctaw;;
Alabama;AL;Rating Area 13;Clarke;;
Alabama;AL;Rating Area 13;Clay;;
Alabama;AL;Rating Area 13;Cleburne;;
Alabama;AL;Rating Area 13;Coffee;;
Alabama;AL;Rating Area 13;Conecuh;;
Alabama;AL;Rating Area 13;Coosa;;
Alabama;AL;Rating Area 13;Covington;;
Alabama;AL;Rating Area 13;Crenshaw;;
Alabama;AL;Rating Area 13;Cullman;;
Alabama;AL;Rating Area 13;Dale;;
Alabama;AL;Rating Area 13;Dallas;;
Alabama;AL;Rating Area 13;DeKalb;;
Alabama;AL;Rating Area 13;Escambia;;
Alabama;AL;Rating Area 13;Fayette;;
Alabama;AL;Rating Area 13;Franklin;;
Alabama;AL;Rating Area 13;Jackson;;
Alabama;AL;Rating Area 13;Lamar;;
Alabama;AL;Rating Area 13;Macon;;
Alabama;AL;Rating Area 13;Marion;;
Alabama;AL;Rating Area 13;Marengo;;
Alabama;AL;Rating Area 13;Marshall;;
Alabama;AL;Rating Area 13;Monroe;;
Alabama;AL;Rating Area 13;Perry;;
Alabama;AL;Rating Area 13;Pickens;;
Alabama;AL;Rating Area 13;Pike;;
Alabama;AL;Rating Area 13;Randolph;;
Alabama;AL;Rating Area 13;Sumter;;
Alabama;AL;Rating Area 13;Talladega;;
Alabama;AL;Rating Area 13;Tallapoosa;;
Alabama;AL;Rating Area 13;Washington;;
Alabama;AL;Rating Area 13;Wilcox;;
Alabama;AL;Rating Area 13;Winston;;
Alaska;AK;Rating Area 1;;995;
Alaska;AK;Rating Area 2;;996;
Alaska;AK;Rating Area 2;;997;
Alaska;AK;Rating Area 3;;998;
Alaska;AK;Rating Area 3;;999;
Arizona;AZ;Rating Area 1;Mohave;;
Arizona;AZ;Rating Area 1;Coconino;;
Arizona;AZ;Rating Area 1;Apache;;
Arizona;AZ;Rating Area 1;Navajo;;
Arizona;AZ;Rating Area 2;Yavapai;;
Arizona;AZ;Rating Area 3;La Paz;;
Arizona;AZ;Rating Area 3;Yuma;;
Arizona;AZ;Rating Area 4;Maricopa;;
Arizona;AZ;Rating Area 5;Pinal;;
Arizona;AZ;Rating Area 5;Gila;;
Arizona;AZ;Rating Area 6;Pima;;
Arizona;AZ;Rating Area 6;Santa Cruz;;
Arizona;AZ;Rating Area 7;Graham;;
Arizona;AZ;Rating Area 7;Greenlee;;
Arizona;AZ;Rating Area 7;Cochise;;
Arkansas;AR;Rating Area 1;Cleburne;;
Arkansas;AR;Rating Area 1;Lonoke;;
Arkansas;AR;Rating Area 1;Pulaski;;
Arkansas;AR;Rating Area 1;Yell;;
Arkansas;AR;Rating Area 1;Conway;;
Arkansas;AR;Rating Area 1;Perry;;
Arkansas;AR;Rating Area 1;Saline;;
Arkansas;AR;Rating Area 1;Faulkner;;
Arkansas;AR;Rating Area 1;Pope;;
Arkansas;AR;Rating Area 1;Van Buren;;
Arkansas;AR;Rating Area 1;Grant;;
Arkansas;AR;Rating Area 1;Prairie;;
