group_number,status,source_url,first_seen_at,last_verified_at,notes
1006,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1011,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1013,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1023,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1025,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1048,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1051,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1054,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1057,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1063,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1075,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1084,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1086,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1090,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1091,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1095,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1100,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1104,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1108,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1123,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1124,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1139,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1140,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1142,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1143,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1149,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1159,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1164,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1173,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1174,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1177,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1181,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1184,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1185,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1186,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1187,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1190,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1192,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1194,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1196,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1197,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1198,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1199,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1200,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1201,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1202,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1205,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1207,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1208,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1209,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1210,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1211,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1212,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1214,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1215,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1216,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
